,1,0.5,0.2
381,4-5,4.5-4.9,4.4-4.5
382,4-5,4.0-4.4,4.2-4.3
383,4-5,4.5-5.0,4.8-5.0
384,3-4,3.0-3.4,3.0-3.1
385,4-5,4.0-4.4,4.0-4.1
386,4-5,4.5-4.9,4.6-4.7
387,4-5,4.0-4.4,4.2-4.3
388,4-5,4.5-4.9,4.4-4.5
389,4-5,4.0-4.4,4.0-4.1
390,4-5,4.5-4.9,4.4-4.5
391,4-5,4.0-4.4,4.2-4.3
392,4-5,4.5-4.9,4.4-4.5
393,4-5,4.0-4.4,4.4-4.5
394,3-4,3.5-3.9,3.6-3.7
395,4-5,4.0-4.4,4.0-4.1
396,4-5,4.0-4.4,4.2-4.3
397,4-5,4.5-4.9,4.4-4.5
398,4-5,4.0-4.4,4.4-4.5
399,4-5,4.0-4.4,4.2-4.3
400,4-5,4.5-4.9,4.4-4.5
401,4-5,4.5-4.9,4.4-4.5
402,4-5,4.5-4.9,4.4-4.5
403,4-5,4.0-4.4,4.0-4.1
404,4-5,4.0-4.4,4.2-4.3
405,4-5,4.5-4.9,4.4-4.5
406,4-5,4.5-4.9,4.6-4.7
407,4-5,4.0-4.4,4.0-4.1
408,4-5,4.0-4.4,4.2-4.3
409,4-5,4.0-4.4,4.4-4.5
410,4-5,4.5-4.9,4.4-4.5
411,4-5,4.0-4.4,4.4-4.5
412,3-4,3.0-3.4,3.2-3.3
413,4-5,4.0-4.4,4.0-4.1
414,4-5,4.0-4.4,4.2-4.3
415,3-4,3.5-3.9,3.6-3.7
416,4-5,4.5-4.9,4.4-4.5
417,4-5,4.5-4.9,4.4-4.5
418,4-5,4.5-4.9,4.4-4.5
419,4-5,4.0-4.4,4.2-4.3
420,4-5,4.0-4.4,4.2-4.3
421,3-4,3.5-3.9,3.6-3.7
422,4-5,4.0-4.4,4.2-4.3
423,4-5,4.0-4.4,4.2-4.3
424,4-5,4.0-4.4,4.2-4.3
425,4-5,4.5-4.9,4.4-4.5
426,3-4,3.5-3.9,3.6-3.7
