,numerical
1283,4.3
4882,4.3
3060,4.2
8192,4.4
1633,4.6
2805,4.2
922,3.9
8323,3.5
3057,4.4
2106,4.5
2325,3.8
3665,4.4
8582,4.3
7352,5.0
1274,4.6
3859,4.5
1682,4.4
293,4.6
7583,5.0
3245,3.7
4829,2.0
5847,4.6
2321,2.9
4486,4.3
7414,3.7
5724,4.4
829,4.7
2330,4.3
101,4.2
2606,4.5
8541,4.1
9089,4.5
4886,4.5
8405,4.6
3434,3.8
4661,4.3
863,4.1
1567,4.6
4501,4.7
6457,4.7
6213,3.9
9258,5.0
17,4.3
7212,4.5
5758,4.0
222,4.7
6462,5.0
7270,4.0
6135,1.9
8881,4.3
6516,2.0
3257,4.3
24,4.7
5066,4.2
3757,4.5
2625,4.6
7254,3.5
5603,4.8
4936,4.4
3652,4.0
8162,3.1
2526,4.4
6077,4.3
6909,4.6
3296,4.4
16,4.5
4409,3.9
1427,4.1
3344,4.6
6042,4.1
4193,3.5
3315,4.2
2207,2.6
8819,3.1
3808,3.3
6663,4.3
6454,5.0
5260,3.5
8766,4.1
6557,3.6
1797,4.4
4460,4.3
7834,5.0
2630,4.7
6050,4.2
8950,4.9
8492,4.6
7491,4.6
1624,4.7
4804,3.7
5555,4.2
7568,3.4
6948,3.3
5343,3.6
7706,4.0
7906,4.6
1994,3.8
4963,5.0
6797,3.4
3581,4.3
8136,3.4
511,2.5
2981,4.6
9165,4.7
8451,4.0
187,4.4
868,4.4
1851,4.6
2963,4.4
1676,4.3
3294,4.4
6124,4.4
7674,4.1
312,3.3
5334,3.7
3183,4.2
4746,3.8
6548,3.6
2081,4.8
2641,4.3
2517,4.2
31,4.2
9265,4.1
9130,3.7
7952,5.0
3947,4.3
115,4.1
6726,4.6
2317,4.2
8125,4.5
8028,4.1
2782,4.6
2721,4.4
5294,4.0
2865,4.4
7206,5.0
1738,4.3
6660,4.7
5258,4.3
5391,4.5
581,3.9
7911,2.9
7324,4.3
1898,4.7
4338,3.6
8035,4.1
5776,3.9
728,4.2
5148,4.5
9149,4.4
7914,5.0
2299,4.1
4909,4.4
3179,4.3
5673,4.2
