,numerical
6537,3.6
2407,4.4
4421,4.2
1647,4.3
7399,3.7
6833,4.4
3302,4.3
451,4.0
9336,4.0
1364,4.6
6362,3.0
4792,4.4
6029,3.5
8188,2.9
8718,4.0
6985,4.3
5640,3.7
6995,4.4
4406,4.7
1934,4.4
4033,2.9
386,4.3
3232,4.4
6458,4.7
2315,4.3
3138,4.2
4728,2.2
4983,3.7
4455,4.0
9228,4.4
6796,4.3
4672,4.3
2580,4.4
7017,3.8
2313,2.3
5623,4.9
1460,4.6
865,4.1
5790,3.9
2640,4.6
9090,3.5
6934,4.3
8683,3.0
2275,4.5
7693,4.2
1816,4.5
6449,4.1
1948,4.6
2970,4.5
7763,4.2
4937,3.7
1924,4.4
1916,4.5
974,5.0
335,4.3
5699,3.9
6124,4.4
7025,3.3
6621,4.4
5955,4.2
2639,4.5
2321,2.9
3272,4.1
243,4.4
2192,3.6
112,4.5
4902,3.5
4783,4.2
1143,3.7
7418,3.9
1181,4.2
5481,4.0
7783,3.9
1547,4.4
3242,4.5
6217,3.5
1662,4.5
3946,4.5
9066,4.2
2038,4.3
1964,4.5
1524,4.1
2269,4.8
1966,4.5
4068,4.7
7628,4.5
8170,2.9
6963,4.1
6986,4.4
7527,4.3
5872,5.0
3429,4.3
1572,4.7
9269,3.0
6629,5.0
2354,2.6
3820,4.5
8247,4.3
4288,4.6
3246,4.7
2711,4.4
1598,3.8
277,4.2
0,4.1
1525,4.6
8004,4.0
8396,4.2
3219,4.0
3066,4.5
3685,4.2
891,3.9
14,4.4
339,4.3
9343,4.0
5150,4.7
346,4.2
8,4.4
8085,4.6
6694,4.0
2512,4.2
1103,4.6
4419,4.1
6799,3.9
6331,3.8
8020,4.2
7899,2.8
4947,4.4
352,4.2
125,4.3
8992,4.2
3286,4.5
1154,4.1
2996,3.3
1438,4.2
6785,4.3
1383,4.5
672,4.2
1490,4.6
1625,4.6
9276,4.0
4821,3.8
6715,3.6
5990,3.9
5665,3.8
2376,4.4
1479,4.1
2769,4.4
6812,3.5
8911,3.9
942,4.6
3035,4.6
6293,4.0
8252,4.2
2173,3.8
3972,4.4
9222,4.2
8455,4.2
207,4.4
4890,5.0
4018,4.5
428,4.4
9350,3.4
7480,4.4
8394,4.2
7621,4.7
445,4.2
3137,3.8
3152,4.4
3009,4.1
7489,4.8
3915,4.4
2577,4.6
2365,3.8
7922,3.5
9128,4.3
1172,3.9
6679,5.0
9149,4.4
5366,4.4
2718,4.4
5969,3.4
7027,3.9
1261,4.4
8759,4.0
7340,3.6
634,4.8
2912,4.6
933,4.2
1285,4.6
8385,4.4
5696,4.5
4383,3.9
7085,3.9
7788,4.6
4653,3.8
5900,4.7
5652,4.9
4120,4.6
2121,4.5
6579,4.3
2459,3.7
1790,4.3
1224,4.7
5222,4.3
6580,4.7
7165,3.3
4709,3.9
4262,4.3
5890,5.0
2817,4.5
5744,2.2
5873,4.3
9295,3.5
3765,3.7
6553,4.1
1866,4.4
2744,4.4
2717,4.3
8900,3.4
957,4.2
1518,4.0
8750,3.8
7751,3.3
9238,3.8
6783,4.0
3026,4.1
7992,4.0
1868,4.2
1649,4.4
4180,4.4
7881,4.4
8780,4.3
4531,4.5
6421,3.3
5328,4.4
7583,5.0
6268,4.2
8478,4.3
4066,4.4
6071,4.2
7916,4.6
6191,2.5
4456,3.8
6548,3.6
5078,4.2
6994,4.4
4636,4.4
3662,3.9
5037,4.7
266,4.5
4281,4.2
1178,4.7
2528,4.2
7601,4.6
233,3.5
279,4.8
109,4.5
5244,4.5
1292,4.6
8764,4.4
4998,4.4
5466,4.8
6171,4.0
1596,4.4
7923,3.6
6740,4.7
7470,4.5
315,4.2
7463,4.5
4568,4.6
9069,4.2
4820,3.9
4790,4.2
1276,4.5
1870,4.5
3939,4.1
4276,4.6
543,4.1
1507,3.3
3095,4.2
5765,4.4
6065,3.7
389,4.2
1953,4.5
8457,4.4
6006,4.0
7632,4.4
4102,3.5
808,4.2
3480,3.5
303,4.2
3274,4.2
2789,4.4
1627,4.5
302,4.5
199,3.9
4878,4.7
1267,4.3
7673,4.3
3524,4.2
1620,4.6
4347,4.4
4946,4.6
517,3.3
2183,4.4
3439,4.1
8741,4.5
1623,4.5
4338,3.6
6971,4.8
5074,4.2
7014,4.5
8643,4.5
725,4.0
5747,4.5
7456,4.3
2179,3.4
8158,3.7
5586,4.4
4526,4.4
9184,4.6
1544,4.1
5914,4.8
7147,3.3
1258,4.6
7684,4.3
5722,4.8
2218,4.4
