,numerical
7780,4.1
7320,4.3
5994,3.0
5635,4.7
6029,3.5
3127,4.5
4437,4.1
2324,4.0
4785,3.9
5549,4.5
4197,4.2
1181,4.2
2285,4.6
8083,3.5
7637,4.3
475,4.1
7987,4.5
6709,2.6
4568,4.6
7974,4.2
834,4.3
3926,4.5
4064,4.4
5671,4.2
4085,4.2
3340,3.1
851,4.4
7792,3.4
4141,4.2
5254,4.3
58,4.6
3793,3.9
3386,4.3
6942,4.1
1993,4.3
6747,4.3
6677,4.5
6298,4.8
4294,4.3
8135,4.5
717,4.0
2556,4.1
3566,4.6
7235,4.4
2046,4.1
4740,4.2
2416,4.3
8477,4.4
4951,4.4
4463,4.8
2787,4.6
5182,3.9
4998,4.4
1324,4.4
5928,4.3
4325,3.1
485,3.3
8257,4.1
6614,4.8
420,4.4
8587,4.0
9304,4.1
3461,4.1
4713,3.7
439,4.3
5878,4.0
3956,4.3
4483,4.5
8538,3.8
6327,4.1
2278,4.6
4017,4.2
4923,5.0
6771,4.7
9178,3.8
7707,4.2
8611,4.3
9307,3.4
3676,4.0
4620,4.5
7412,4.3
1845,4.3
3418,4.6
35,4.1
4630,3.9
8661,4.1
5628,4.0
7828,3.0
5357,4.3
1433,4.5
8034,4.2
6810,3.9
3911,4.0
2719,4.2
7316,4.2
5097,4.2
5989,4.5
2668,3.6
5393,4.0
2580,4.4
9027,4.9
9168,4.2
2701,4.2
9172,2.0
1486,4.6
3061,4.2
5048,2.9
5091,4.4
473,4.2
6722,4.7
8557,4.1
1847,4.5
5503,3.9
8121,3.5
4366,4.6
4253,4.4
8900,3.4
1899,4.7
7213,3.8
6057,3.0
4438,3.2
5036,4.7
79,4.4
8697,3.2
8520,4.1
2655,4.5
2604,4.3
4135,4.4
3145,4.4
8696,3.0
6830,4.2
5419,4.6
2793,4.3
1086,4.4
1431,4.3
7638,3.9
6440,4.0
3259,4.0
4972,5.0
614,4.1
7722,3.1
7840,4.1
4777,3.5
3968,4.2
6144,5.0
865,4.1
400,4.6
916,3.9
1855,4.7
7013,3.8
3960,4.2
6609,1.0
7964,4.5
270,4.0
2698,4.4
434,4.5
6267,3.1
6289,4.5
6561,4.0
4950,4.7
4254,4.4
7969,4.5
4663,3.4
5283,4.4
1347,4.0
3284,4.1
5576,4.8
968,4.7
4734,3.7
167,3.4
3496,4.5
4574,4.3
8978,3.8
2369,3.8
7903,3.2
9049,3.7
4917,3.6
3535,3.9
8184,4.6
20,4.1
2823,4.4
7119,4.5
5609,1.4
5417,4.7
6925,4.5
3775,4.3
7530,4.5
7016,3.9
7930,3.2
6884,4.3
66,3.9
6268,4.2
542,3.8
5447,4.4
6376,4.3
1665,4.2
8530,4.3
8815,4.4
1679,4.7
1524,4.1
320,4.4
1587,4.3
356,4.2
8662,4.1
7070,4.0
8377,3.4
3267,4.3
7558,4.7
6332,4.1
2009,4.5
5643,5.0
5828,3.9
832,3.4
7815,4.6
5557,4.3
5189,2.7
432,4.1
5,4.4
8408,3.8
4263,4.1
2024,4.3
3131,4.3
2660,4.1
8837,3.5
4751,4.4
441,4.5
1422,4.0
2658,4.5
4995,4.6
2594,4.3
4640,4.3
3617,3.6
9204,4.5
7045,4.3
3994,4.4
9033,4.1
4750,4.1
6084,3.9
8252,4.2
8361,5.0
6603,4.6
4423,4.2
471,4.5
1016,4.5
7847,2.4
2025,4.4
5246,3.6
2754,4.1
1803,4.3
468,3.7
722,4.0
1573,4.5
555,4.2
9060,4.3
6822,3.4
7656,4.3
7198,4.0
2357,4.3
6307,3.7
5204,3.8
8933,4.2
365,4.5
8178,4.3
8045,3.6
7243,4.3
6781,4.2
8392,4.6
973,4.4
4039,4.3
529,4.2
3890,4.6
3632,4.3
8222,4.0
1657,4.4
8368,4.0
2272,4.5
4739,4.8
8195,3.1
7258,4.3
2840,4.3
221,4.2
6167,4.2
3067,4.3
6438,4.1
4200,3.2
8768,2.7
763,4.0
7063,4.0
7113,4.3
1389,4.6
6380,4.7
4023,4.2
372,4.3
1630,4.8
1195,4.8
1192,4.9
2626,4.4
7812,3.3
4356,4.8
6039,4.4
8770,2.3
1715,4.6
5955,4.2
339,4.3
4375,4.5
6348,4.5
1622,4.4
2977,4.2
13,4.6
6381,4.6
5900,4.7
5703,4.0
2867,4.4
5825,3.6
1448,4.6
1289,4.5
4397,3.0
3738,4.2
6477,4.6
1166,4.3
1521,4.1
3614,4.4
1507,3.3
9124,4.3
1550,4.4
292,4.4
7338,4.1
384,4.1
3914,3.9
794,4.5
5482,4.0
3767,4.5
5536,3.5
5011,4.2
4747,4.0
2255,4.7
8235,4.0
8682,4.2
7027,3.9
6798,4.2
997,4.1
1253,4.4
4051,4.5
8674,4.4
864,4.2
1352,3.5
29,4.1
1516,3.7
4392,4.4
4725,3.4
299,3.2
9081,4.8
547,3.7
7993,3.5
4730,3.7
7357,4.0
1746,4.2
737,4.5
989,4.2
3663,4.5
2960,4.5
7784,4.3
3582,3.9
3033,3.5
3571,3.8
4415,4.8
4870,3.9
4443,4.6
1470,4.7
549,3.5
211,4.2
700,4.1
5456,4.6
3022,4.3
1300,4.2
8479,4.1
5411,4.4
1476,4.1
9084,3.8
7127,4.8
8086,1.7
